achitecture,best_epoch,best_val,best_train,training_loss,validation_loss
"(512, 64, 64, 128, 32)",7,4.282739434923444,3.7875430583953857,"[2153.9090272037647, 230.44449927945186, 9.811135690773714, 5.687205990291157, 4.953568272758805, 4.313504342197422, 3.7875430583953857, 3.580001122037434, 3.3503678650579354, 3.0609299321494685, 2.873949988303331, 2.7367058936781987, 2.5927101830709236, 2.496470470884147, 2.379888480976309, 2.273738007089791, 2.206825353722252, 2.1510574572186694, 2.1072021214221524, 1.9996726557663276]","[799.6877977020887, 23.52438412880411, 10.848989496425707, 6.5977926789497845, 7.294956309454782, 5.517830362125319, 4.282739434923444, 11.096801855126206, 6.009380603323177, 5.647695118067216, 9.741906312047218, 9.362052907749097, 8.434790285266175, 5.327194218732873, 4.691355291677981, 12.436617695555395, 10.809471334729876, 4.749051780116801, 13.31727561172174, 6.039312591358107]"
"(512, 64, 64, 128, 64)",8,3.401423938420354,3.3214240540687814,"[1645.1286278074783, 37.32443822528722, 6.368662030759253, 5.154803793313696, 4.427746306236015, 3.989915623192901, 3.6748822486712527, 3.3214240540687814, 3.1176370144975336, 2.9674753379225054, 2.802657640156621, 2.661420228538253, 2.5170541579948487, 2.431291997907376, 2.361685746765788, 2.219600117789736, 2.17341689784101, 2.080656281510311, 2.075872107577405, 1.9841142198467145]","[188.6550442442602, 10.06727225439889, 10.66755978915156, 8.104031611462029, 5.227131911686489, 3.9008182652142582, 6.096927530911504, 3.401423938420354, 7.70489365713937, 4.868946328455088, 5.0146731892410585, 10.309456436001526, 11.41474468854009, 15.417767845854467, 6.434422833578927, 7.173701432286476, 3.4587922242223, 7.7102111894257215, 8.057683185655243, 6.192732363331075]"
"(512, 64, 64, 128, 128)",16,3.7061773538589478,2.1585792441416927,"[1191.2244610683367, 9.164413628995893, 5.820778359596504, 4.824971384833969, 4.187291715739123, 3.7829393138928897, 3.4917100954110034, 3.1806318735506753, 2.982013596067114, 2.7878690850883894, 2.7436819953994402, 2.525792513419879, 2.404908853450597, 2.3018071711131194, 2.2513697373853474, 2.1585792441416927, 2.0973814960497097, 2.039502342406393, 1.9347360277881123, 1.8844686578429464]","[22.698917194288605, 12.517688293846286, 5.881210098461229, 10.951340801861821, 7.6699162599991775, 10.812954065751056, 16.737306332101628, 9.503892694200788, 4.533735518552819, 6.189512087374317, 12.563486410647023, 4.107849987185731, 8.568880815895236, 6.232704838927911, 7.513598948108907, 3.7061773538589478, 8.356393619459503, 8.535301510168582, 8.162525157539212, 5.641378271336458]"
"(512, 64, 128, 32, 32)",17,3.012070439299759,2.2878725497524623,"[2147.0429638894075, 222.2053029642984, 9.099922652673124, 5.384168592600557, 4.638177981555665, 4.174808230416359, 3.821812163712086, 3.4769063779789704, 3.274295197140777, 3.0505399724322375, 2.921358558640681, 2.686412689764481, 2.673497321391404, 2.5310376847292106, 2.4429059975247607, 2.3345748891331364, 2.2878725497524623, 2.2234476670470253, 2.1941206514903167, 2.0667860510677474]","[771.2070792061942, 18.806069043217875, 7.856318021307186, 7.747794842233463, 4.473884456011714, 6.1409203762910805, 5.26230510400266, 15.023693162567762, 6.120964259517436, 4.489499062907939, 10.23435285140057, 6.189502020271457, 5.067994969231742, 3.8327562541377787, 3.180655681357092, 7.865119535095838, 3.012070439299759, 9.496672231323865, 7.28750796707309, 5.0360561147028085]"
"(512, 64, 128, 32, 64)",20,3.4424479907872727,2.0775101393698563,"[1641.494789409963, 36.82572758374089, 6.374132497590014, 5.3368441328931855, 4.641311902099367, 4.24735805524494, 3.9377913068178976, 3.5340734027215914, 3.3293148058130746, 3.112746471431068, 2.93633659748494, 2.751098011812117, 2.6913719570541814, 2.5921493306230494, 2.4581169603356456, 2.3214096088593865, 2.284162675968209, 2.1322645381584646, 2.129379484976247, 2.0775101393698563]","[195.50392991669324, 9.701445054034798, 8.647612644701589, 11.884920976599869, 11.084615814442538, 9.120303601634745, 6.349118193801568, 6.19289273631816, 6.712203040414927, 10.50534962634651, 6.689887333889397, 8.77731042978715, 10.476806757401446, 3.629748215480727, 18.85850412018445, 6.756448512174646, 9.389047486441475, 8.377588729469144, 7.954040824150552, 3.4424479907872727]"
"(512, 64, 128, 32, 128)",15,3.141651907745673,2.4893114691572658,"[1194.3507519571176, 9.389532668598683, 6.182696204679139, 5.2141946352111335, 4.51605354613954, 4.110997198113538, 3.7998019349724226, 3.598154648985879, 3.309719946061656, 3.100480450162573, 2.904573259635726, 2.7697269310316535, 2.6341465192172038, 2.554180518894608, 2.4893114691572658, 2.300248799199266, 2.296004215605023, 2.24522086662644, 2.1197467832163874, 2.060330817316986]","[26.34974831950908, 8.319974607350876, 7.5724524429866245, 4.609553843128438, 25.30616302879489, 4.233804384056403, 12.273876472395294, 4.3039325889276, 4.333340401552161, 6.71663515421809, 7.002593697333823, 11.440935533873889, 9.701338193854507, 6.84581706961807, 3.141651907745673, 5.986906119755337, 9.411885718910062, 5.7774019435960415, 4.668013246691957, 8.942068897947973]"
"(512, 64, 128, 64, 32)",15,2.8489828377353903,2.3927910635766994,"[2146.9294889795087, 219.32225522680358, 8.756492649464613, 5.400529990288449, 4.5455915754294365, 4.142935926732485, 3.6817512805144537, 3.4068314554477035, 3.2456084640359717, 3.0368219984269387, 2.8634629754076233, 2.729238391465023, 2.5770035393544566, 2.4671402327436636, 2.3927910635766994, 2.255862024185736, 2.227851046365818, 2.101980593288582, 2.086106390133924, 2.0175280108522364]","[744.3606928611289, 18.251005114341268, 10.58554151106854, 5.420234164413141, 7.230759440636148, 8.09884838182099, 9.76481159365907, 12.077098651808136, 8.627199163242262, 5.02083200824504, 5.117550640690084, 8.411461980975403, 8.736131205850718, 13.387781950892235, 2.8489828377353903, 4.088367749233635, 10.219001380764709, 5.737510345420059, 3.8654454119351445, 7.967659561001525]"
"(512, 64, 128, 64, 64)",19,2.670211071870765,2.098751606387897,"[1643.2239943190782, 35.634165034766085, 6.237041752221777, 5.0746823830002405, 4.388874082435113, 3.9359375104155556, 3.6274668351239585, 3.3990507969406005, 3.169113611605387, 2.990141628138441, 2.8326822913954284, 2.6759617951135994, 2.5807584582470926, 2.51138428846995, 2.3835568703346555, 2.298397179620936, 2.1529813419023065, 2.0830931522469203, 2.098751606387897, 2.0411535609975475]","[178.11149721729512, 15.043125580768196, 6.5215363891757265, 6.75343276529896, 7.987468753542219, 11.216031882227684, 5.328997047580018, 6.197250244568806, 10.566033081132538, 8.840309629634936, 7.577047401544999, 10.46423695038776, 4.8174958326378645, 5.529839729776188, 11.265910372442129, 4.33544135093689, 6.216634195678088, 8.294744287218366, 2.670211071870765, 4.925821085365451]"
"(512, 64, 128, 64, 128)",16,2.54323042898762,2.095367816799194,"[1188.5782088994708, 9.042673262855434, 5.830141856266234, 4.75778455240599, 4.196517321572505, 3.6700470927632303, 3.3967592043545736, 3.1280374030611213, 2.8852948490127632, 2.733198061737998, 2.5913861169478727, 2.482664158184238, 2.3797319503638796, 2.263207786997295, 2.189321610165402, 2.095367816799194, 2.049830978505305, 2.0355532089326704, 1.9532714692941433, 1.864895668995394]","[18.02176724647989, 12.692568496781952, 8.170023674867592, 13.231039942527303, 3.8093156060393976, 4.320089079895798, 4.159746491179174, 5.412051794480305, 5.4586158625933585, 4.621517580382678, 8.851082227667984, 10.323549007882876, 2.9596455997350266, 5.132714826233533, 27.93642131649718, 2.54323042898762, 5.7963612176934065, 10.64157382809386, 5.371311392102923, 12.144110514193166]"
"(512, 64, 128, 128, 32)",11,3.4482786631097597,2.586914867400038,"[2147.4804622923557, 228.56188618526525, 9.05715272912122, 5.117961323708804, 4.37740079616117, 3.7665796570132346, 3.481925143316744, 3.1522462566015528, 2.9853207126547994, 2.82207967247708, 2.586914867400038, 2.4494564628167095, 2.350131133310624, 2.261891378070714, 2.140522013345269, 2.084602674526566, 1.9945388712302545, 1.969512571518196, 1.8816171523789633, 1.8077435896258305]","[794.4380119479432, 35.995009441764985, 9.81060808532092, 8.527709737115977, 12.503748290392817, 5.730840391042281, 7.412311140371829, 16.558298295857956, 5.012532657506514, 5.435292117449702, 3.4482786631097597, 13.458449908665248, 16.01011073832609, 21.577378117308324, 6.126336126911397, 8.347315019490768, 15.446554086646255, 4.587994176514295, 4.047270935408923, 11.24564334324428]"
